date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_2_normalized,smart_2_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_8_normalized,smart_8_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_11_normalized,smart_11_raw,smart_12_normalized,smart_12_raw,smart_13_normalized,smart_13_raw,smart_15_normalized,smart_15_raw,smart_22_normalized,smart_22_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_191_normalized,smart_191_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_195_normalized,smart_195_raw,smart_196_normalized,smart_196_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_200_normalized,smart_200_raw,smart_201_normalized,smart_201_raw,smart_220_normalized,smart_220_raw,smart_222_normalized,smart_222_raw,smart_223_normalized,smart_223_raw,smart_224_normalized,smart_224_raw,smart_225_normalized,smart_225_raw,smart_226_normalized,smart_226_raw,smart_240_normalized,smart_240_raw,smart_241_normalized,smart_241_raw,smart_242_normalized,smart_242_raw,smart_250_normalized,smart_250_raw,smart_251_normalized,smart_251_raw,smart_252_normalized,smart_252_raw,smart_254_normalized,smart_254_raw,smart_255_normalized,smart_255_raw
2017-01-31,JK1171B9HAK7DT,Hitachi HDS722020ALA330,2000398934016,0,100,0,100,0,118,619,100,195,100,0,100,0,100,0,94,47706,100,0,,,100,192,,,,,,,,,,,,,,,,,,,,,99,1531,99,1531,214,28,,,100,0,100,0,100,0,200,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-31,JK11A8B9J3AMZF,Hitachi HDS722020ALA330,2000398934016,0,100,0,100,0,128,563,100,186,100,0,100,0,100,0,94,47587,100,0,,,100,186,,,,,,,,,,,,,,,,,,,,,99,1527,99,1527,214,28,,,100,0,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-31,JK11A8B9J3AM1F,Hitachi HDS722020ALA330,2000398934016,0,100,0,100,0,137,560,100,175,100,0,100,0,100,0,94,46915,100,0,,,100,175,,,,,,,,,,,,,,,,,,,,,99,1620,99,1620,222,27,,,100,0,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-31,JK11A8B9J7N00F,Hitachi HDS722020ALA330,2000398934016,0,100,0,100,0,130,511,100,64,100,0,100,0,100,0,94,47283,100,0,,,100,63,,,,,,,,,,,,,,,,,,,,,99,1477,99,1477,206,29,,,100,0,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-31,JK11A8B9J7WXXF,Hitachi HDS722020ALA330,2000398934016,0,100,0,100,0,115,622,100,84,100,1,100,0,100,0,93,49120,100,0,,,100,81,,,,,,,,,,,,,,,,,,,,,99,1490,99,1490,181,33,,,100,1,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-31,JK1131YAJGSMSV,Hitachi HDS722020ALA330,2000398934016,0,100,1,100,0,120,603,100,191,100,0,100,0,100,0,93,51981,100,0,,,100,191,,,,,,,,,,,,,,,,,,,,,99,1803,99,1803,214,28,,,100,0,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-31,JK1101B9JRLARF,Hitachi HDS722020ALA330,2000398934016,0,100,0,100,0,116,616,100,157,100,0,100,0,100,0,94,46365,100,0,,,100,157,,,,,,,,,,,,,,,,,,,,,99,1386,99,1386,206,29,,,100,0,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-31,JK1105B8JS1J3X,Hitachi HDS722020ALA330,2000398934016,0,100,0,100,0,124,604,100,45,100,0,100,0,100,0,94,46259,100,0,,,100,45,,,,,,,,,,,,,,,,,,,,,99,1240,99,1240,181,33,,,100,0,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-31,JK11A8B9J7H6RF,Hitachi HDS722020ALA330,2000398934016,0,100,0,100,0,127,615,100,53,100,0,100,0,100,0,94,46283,100,0,,,100,52,,,,,,,,,,,,,,,,,,,,,100,1178,100,1178,187,32,,,100,0,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-31,JK1101B9JP1KUR,Hitachi HDS722020ALA330,2000398934016,0,100,0,100,0,118,610,100,184,100,0,100,0,100,0,94,46918,100,0,,,100,184,,,,,,,,,,,,,,,,,,,,,99,1581,99,1581,206,29,,,100,0,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-31,JK1171YAK204MN,Hitachi HDS722020ALA330,2000398934016,0,100,0,100,0,121,577,100,183,100,0,100,0,100,0,93,51181,100,0,,,100,181,,,,,,,,,,,,,,,,,,,,,99,1760,99,1760,176,34,,,100,0,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-31,JK1171B9H683ZT,Hitachi HDS722020ALA330,2000398934016,0,100,0,100,0,122,562,100,204,100,0,100,0,100,0,94,48683,100,0,,,100,204,,,,,,,,,,,,,,,,,,,,,99,1587,99,1587,181,33,,,100,0,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
